id_registro,estudiante,id_curso,nota,horas_estudio
696,Daniela Nieto,C03,4.7,10
2138,Felipe Salazar,C04,2.8,17
2566,Santiago Mendoza,C03,,9
4590,Sofia Ospina,C02,3.0,6
4017,Juan Ospina,C04,4.8,15
2639,Isabella Rincon,C01,3.0,15
2734,Andres Beltran,C02,3.2,8
2941,Camila Rojas,C05,4.5,17
1706,Sebastian Cabrera,C02,3.6,3
1044,Mariana Silva,C03,4.4,5
3389,Felipe Ospina,C03,5.0,13
23,Laura Herrera,C01,,13
2724,Luis Ospina,C05,4.1,7
2984,Valeria Ospina,C01,,16
755,Mariana Beltran,C02,2.0,10
574,Alejandra Nieto,C03,3.4,6
515,Luis Vargas,C03,5.0,11
2412,Alejandra Herrera,C01,2.0,16
4737,Paula Vargas,C01,2.9,10
4582,Valeria Mendoza,C02,3.2,13
103,Camila Martinez,C03,3.1,4
1280,Camila Duran,C02,4.6,9
4844,Valeria Cabrera,C01,3.6,3
4599,Valeria Pardo,C04,3.8,11
4304,Luis Mendoza,C02,3.1,4
245,Nicolas Pardo,C01,0.8,11
562,Isabella Rojas,C04,2.6,6
150,Sofia Rojas,C04,3.5,2
1613,Luis Cabrera,C04,4.0,8
1629,Carlos Gomez,C01,2.0,10
3255,Paula Castro,C02,3.6,19
1575,Sofia Silva,C05,2.8,18
3964,Sofia Silva,C03,4.8,18
350,Andres Rincon,C01,2.2,4
2753,Sebastian Rojas,C01,4.0,8
4782,Valeria Salazar,C03,5.0,6
1662,Isabella Silva,C03,,0
4333,Juan Nieto,C04,3.6,5
4306,Tomas Gomez,C03,4.0,17
2384,Nicolas Duran,C04,2.9,5
2122,Santiago Gomez,C02,3.5,3
2246,Valeria Duran,C05,4.2,15
4502,Alejandra Martinez,C05,3.3,17
4041,Isabella Vargas,C04,3.5,16
4900,Nicolas Martinez,C05,3.9,8
2400,Felipe Martinez,C01,3.1,9
2554,Mateo Castro,C03,5.0,17
4545,Miguel Vargas,C01,2.4,3
3038,Santiago Beltran,C05,3.5,9
1099,Camila Silva,C01,2.6,19
953,Daniela Castro,C05,3.6,15
2651,Laura Martinez,C01,2.3,12
1033,Sara Salazar,C04,3.1,5
3993,Mariana Rincon,C04,3.9,0
3022,Valeria Cabrera,C02,2.9,9
1097,Daniela Vargas,C04,4.7,20
4899,Sara Mendoza,C03,3.9,16
1921,Sofia Herrera,C02,4.1,11
661,Santiago Herrera,C03,,15
1833,Nicolas Martinez,C04,2.4,0
2247,Ana Herrera,C04,2.1,2
4658,Mariana Martinez,C04,3.0,1
644,Andres Silva,C01,2.6,0
4641,Juan Herrera,C03,5.0,9
973,Carlos Castro,C02,4.8,18
4063,Gabriela Gomez,C03,5.0,3
112,Laura Cabrera,C02,3.3,6
955,Isabella Castro,C05,2.1,3
2980,Nicolas Mendoza,C04,2.5,3
1374,Carlos Ospina,C01,,2
315,Tomas Castro,C05,4.5,15
2221,Miguel Rincon,C04,3.3,19
2976,Luis Rojas,C02,3.7,2
4717,Tomas Duran,C04,3.6,4
1208,Isabella Nieto,C05,4.6,10
1335,Mateo Silva,C03,3.8,0
849,Sara Mendoza,C04,4.6,15
3768,Mariana Nieto,C05,3.3,12
1332,Tomas Beltran,C01,3.1,7
653,Camila Rojas,C01,2.9,13
3386,Diego Martinez,C03,3.6,5
2067,Laura Silva,C04,4.0,14
2087,Laura Duran,C02,3.3,4
3284,Luis Rincon,C05,,18
118,Miguel Nieto,C03,5.0,20
3199,Juan Martinez,C03,4.1,10
2697,Miguel Vargas,C01,2.8,7
1131,Camila Rojas,C05,4.6,1
4438,Sara Castro,C02,3.8,18
2815,Alejandra Beltran,C03,4.1,10
2217,Diego Salazar,C03,4.6,14
2222,Laura Salazar,C04,2.7,17
2759,Isabella Nieto,C02,4.9,15
273,Paula Vargas,C02,5.0,2
401,Carlos Beltran,C01,2.2,18
4583,Laura Nieto,C02,4.1,12
3959,Ana Cabrera,C04,4.0,10
2766,Gabriela Silva,C03,4.6,0
3271,Andres Nieto,C02,3.3,1
2488,Luis Rincon,C02,3.4,9
1536,Mariana Pardo,C02,4.0,13
4355,Juan Cabrera,C02,3.9,0
2116,Felipe Castro,C02,4.3,0
1637,Daniela Gomez,C05,3.5,9
2131,Isabella Duran,C04,3.4,18
287,Miguel Rincon,C02,2.9,15
4087,Mariana Martinez,C03,4.1,12
1725,Alejandra Martinez,C04,3.5,20
4650,Sebastian Vargas,C05,,6
4578,Camila Cabrera,C01,3.2,1
2265,Sofia Salazar,C03,5.0,4
3129,Luis Castro,C05,3.9,10
1128,Diego Nieto,C04,3.3,14
1515,Diego Rincon,C04,3.0,11
3847,Nicolas Vargas,C03,4.0,17
216,Diego Castro,C02,5.0,3
1070,Andres Silva,C04,3.8,20
2208,Andres Silva,C02,3.0,13
1133,Valeria Rincon,C04,2.2,12
4536,Diego Vargas,C05,3.6,8
2621,Andres Beltran,C04,4.7,8
707,Luis Rincon,C05,2.8,7
1569,Camila Duran,C05,3.8,6
4943,Juan Pardo,C01,2.1,0
4310,Valeria Ospina,C02,3.6,7
285,Sara Martinez,C03,4.6,14
1826,Carlos Pardo,C04,4.0,13
2953,Santiago Salazar,C03,4.7,8
4967,Laura Gomez,C05,4.0,4
